Feature,Random Forest,XGBoost
log_depth,0.10173352287212147,0.14407454
prad,0.1004480268781307,0.12795766
period,0.09133514096567033,0.11705039
snr,0.08705845992608159,0.0
st_teff,0.08662732152896067,0.10171671
depth_prad_product,0.07978371751385677,0.090754695
depth,0.07823365398817311,0.11502334
log_duration,0.07721805022296324,0.0
st_rad,0.07591432935295322,0.09520642
log_period,0.07509372450538865,0.0
period_duration_ratio,0.07430113519719722,0.09910412
duration,0.07225291704850322,0.109112084
