Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Train_Time_s,Test_Time_s,Inference_ms_per_sample,Approx_FLOPS
HistGradientBoosting,0.8239474329524924,0.8145160228707905,0.8393211636242393,0.8265962527454203,0.9078425543078275,0.8311552535284893,0.8280590717299579,0.8306878306878307,0.8293713681986266,0.9146989374262101,0.26775646209716797,0.0039997100830078125,0.002090805061687304,9565000
Gradient Boosting,0.81193376405216,0.786482188424868,0.8563684254396933,0.8198973752459986,0.9007655126529264,0.8285415577626765,0.81067472306143,0.8518518518518519,0.8307533539731682,0.908375420875421,1.0559382438659668,0.0010237693786621094,0.0005351643380356034,9565000
Random Forest,0.81916715460337,0.8149512840898281,0.8261422022172209,0.820461342235735,0.9045089293425855,0.8280188186095139,0.8235294117647058,0.8296296296296296,0.8265682656826568,0.9077851021032839,0.23982000350952148,0.028293609619140625,0.014790177532221968,9565000
CatBoost,0.8209756065011519,0.8040494762027993,0.8491369509043928,0.8258800145177638,0.9080667619531928,0.821745948771563,0.811340206185567,0.8328042328042328,0.8219321148825065,0.9119162403253313,0.362154483795166,0.004197835922241211,0.002194373195107795,5739000
XGBoost,0.8174884021198974,0.8066231885421391,0.8359629907476869,0.8208840194401184,,0.8196549921589127,0.8157894736842105,0.8201058201058201,0.8179419525065963,0.9089078009532555,0.18613457679748535,0.002000570297241211,0.0010457764230220653,9565000
AdaBoost,0.7837772306214061,0.7495235868594039,0.8524974576977578,0.7976450881350836,0.8718817378763294,0.7877679038159958,0.7549668874172185,0.8444444444444444,0.7972027972027972,0.8816880930517295,0.5211279392242432,0.013059139251708984,0.006826523393470457,956500
Decision Tree,0.7610438008684439,0.7630259578858283,0.7576847545219638,0.7602739008890691,0.7610400933566724,0.7694720334553058,0.7635983263598326,0.7724867724867724,0.7680168332456602,0.7695078490533036,0.04840970039367676,0.0010013580322265625,0.0005234490497786526,143475
K-Nearest Neighbors,0.6902593654654249,0.6740464878639102,0.7370185879803284,0.7040964127171975,0.7563511030643105,0.6962885520125457,0.6791338582677166,0.7301587301587301,0.7037225905150434,0.7637041409768683,0.009000062942504883,0.07241201400756836,0.037852594881112575,370261150
Support Vector Machine,0.6507347409264626,0.5964434128187246,0.9323164124364425,0.7274710979511951,0.6926515944231536,0.65446941975954,0.5976616231086658,0.9195767195767196,0.724468528553564,0.7036763741309195,9.250281810760498,0.6645381450653076,0.34738010719566526,74052230
Logistic Regression,0.6537052328500675,0.6026713436336191,0.9023515878969743,0.7226353808784401,0.6538662848313284,0.6518557239937272,0.6002875629043853,0.8835978835978836,0.7148972602739726,0.6577222440858804,0.015030622482299805,0.0,0.0,19130
Naive Bayes,0.6393690686497748,0.5853679353618876,0.9563427523547554,0.7261688845073698,0.641463480641909,0.6476738107684266,0.5892034233048058,0.9470899470899471,0.726461038961039,0.6528870960689142,0.0019960403442382812,0.0010066032409667969,0.0005261909257536837,9565
